"Table 7: ARD law enforcement homicides, by region, state, and source, 2011",,,,,,,,,,,,
,,ARD only,,,,SHR only,,,,ARD and SHR,,
Region and state,,AVG N,Row %,Col %,,AVG N,Row %,Col %,,AVG N,Row %,Col %
,Total,361.3,43.6,100,,139.3,16.8,100,,327.7,39.6,100
Northeast,,50,55.6,13.8,,9,10,6.5,,31,34.4,9.5
,Connecticut,2,100,0.6,,0,0,0,,0,0,0
,Maine,2.6,30.6,0.7,,2.6,30.6,1.9,,3.4,38.9,1
,Massachusetts,5,100,1.4,,0,0,0,,0,0,0
,New Hampshire,4,80,1.1,,0,0,0,,1,20,0.3
,New Jersey,4,25,1.1,,4,25,2.9,,8,50,2.4
,New York,26,100,7.2,,0,0,0,,0,0,0
,Pennsylvania,6.4,23.3,1.8,,2.4,8.7,1.7,,18.6,68,5.7
,Rhode Island,0,0,0,,0,0,0,,0,0,0
,Vermont,0,0,0,,0,0,0,,0,0,0
Midwest,,78.7,50.6,21.8,,31.7,20.4,22.8,,45.3,29.1,13.8
,Illinois,9.1,28.4,2.5,,1.1,3.4,0.8,,21.9,68.2,6.7
,Indiana,8.7,46.6,2.4,,5.7,30.6,4.1,,4.3,22.8,1.3
,Iowa,4,80,1.1,,1,20,0.7,,0,0,0
,Kansas,6,85.7,1.7,,0,0,0,,1,14.3,0.3
,Michigan,8,44.4,2.2,,5,27.8,3.6,,5,27.8,1.5
,Minnesota,2,50,0.6,,2,50,1.4,,0,0,0
,Missouri,2.4,13.2,0.7,,9.4,51.2,6.8,,6.6,35.6,2
,Nebraska,1,33.3,0.3,,1,33.3,0.7,,1,33.3,0.3
,North Dakota,1,100,0.3,,0,0,0,,0,0,0
,Ohio,29.5,88,8.2,,0.5,1.4,0.3,,3.5,10.6,1.1
,South Dakota,3,42.9,0.8,,3,42.9,2.2,,1,14.3,0.3
,Wisconsin,4,50,1.1,,3,37.5,2.2,,1,12.5,0.3
South,,125.8,41,34.8,,52.8,17.2,37.9,,128.2,41.8,39.1
,Alabama,7,100,1.9,,0,0,0,,0,0,0
,Arkansas,3,75,0.8,,1,25,0.7,,0,0,0
,Delaware,0,0,0,,0,0,0,,0,0,0
,District of Columbia,0.4,6.6,0.1,,0.4,6.6,0.3,,4.6,86.8,1.4
,Florida,20.8,24.2,5.8,,19.8,23.1,14.2,,45.2,52.7,13.8
,Georgia,12.9,43.1,3.6,,3.9,13,2.8,,13.1,43.8,4
,Kentucky,8,61.5,2.2,,3,23.1,2.2,,2,15.4,0.6
,Louisiana,3.7,42.8,1,,1.7,20,1.3,,3.3,37.2,1
,Maryland,2.8,13.4,0.8,,3.8,18.2,2.7,,14.2,68.3,4.3
,Mississippi,7,87.5,1.9,,0,0,0,,1,12.5,0.3
,North Carolina,12,80,3.3,,1,6.7,0.7,,2,13.3,0.6
,Oklahoma,5.1,31.5,1.4,,3.1,19.1,2.2,,7.9,49.4,2.4
,South Carolina,5.4,52.1,1.5,,3.4,32.9,2.5,,1.6,15,0.5
,Tennessee,2.1,15.8,0.6,,2.1,15.8,1.5,,8.9,68.5,2.7
,Texas,23.1,47.1,6.4,,7.1,14.5,5.1,,18.9,38.4,5.8
,Virginia,10.5,56.8,2.9,,2.5,13.6,1.8,,5.5,29.6,1.7
,West Virginia,2,100,0.6,,0,0,0,,0,0,0
West,,106.7,38.7,29.5,,45.7,16.6,32.8,,123.3,44.7,37.6
,Alaska,1,50,0.3,,0,0,0,,1,50,0.3
,Arizona,5,21.7,1.4,,3,13,2.1,,15,65.3,4.6
,California,52.7,34.7,14.6,,27.7,18.3,19.9,,71.3,47,21.8
,Colorado,10.1,59.1,2.8,,5.1,29.8,3.7,,1.9,11.1,0.6
,Hawaii,0.1,4.4,0,,2.1,68.1,1.5,,0.9,27.4,0.3
,Idaho,3,100,0.8,,0,0,0,,0,0,0
,Montana,2,100,0.6,,0,0,0,,0,0,0
,Nevada,1.6,9.4,0.4,,2.6,15.4,1.8,,12.4,75.2,3.8
,New Mexico,5.9,49.4,1.6,,1.9,15.6,1.3,,4.1,35,1.3
,Oregon,3.2,61.7,0.9,,0.2,4.3,0.2,,1.8,33.9,0.5
,Utah,2.6,39.4,0.7,,1.6,24.3,1.1,,2.4,36.3,0.7
,Washington,19.6,58.3,5.4,,1.6,4.7,1.1,,12.4,37,3.8
,Wyoming,0,0,0,,0,0,0,,0,0,0
Note: These are the mean counts across all replicates.,,,,,,,,,,,,
